State	County	UFO Sightings	Median Household Income (USD)	Percent In Poverty	Population
FL	Okeechobee	66	35,417	22.3	39996
FL	Manatee	693	44,990	14.5	322833
FL	Walton	17	44,622	16.5	55043
FL	Hernando	205	37,867	15.1	172778
FL	Hamilton	3	31,820	30.8	14799
FL	Nassau	25	57,605	11.3	73314
FL	Broward	1818	47,917	14.7	1748066
FL	Putnam	12	33,300	26.7	74364
FL	St. Lucie	110	39,378	17.6	277789
FL	Bradford	12	39,454	19.4	28520
FL	Suwannee	13	39,259	20.9	41551
FL	Hendry	0	37,220	26.7	39140
FL	Highlands	56	34,469	20.7	98786
FL	Gadsden	4	35,704	23.8	46389
FL	Baker	0	45,802	17.5	27115
FL	Florida	0	44,390	16.5	18801310
FL	Osceola	164	42,165	16.3	268685
FL	St. Johns	14	60,841	12	190039
FL	Taylor	4	35,343	20.6	22570
FL	Glades	4	39,089	21	12884
FL	Franklin	7	34,522	24.2	11549
FL	Pinellas	684	42,628	14.2	916542
FL	Martin	125	49,539	11.3	146318
FL	Calhoun	0	34,054	22.1	14625
FL	Monroe	240	50,388	12.6	73090
FL	Bay	187	44,364	15.1	168852
FL	DeSoto	28	33,966	32.9	34862
FL	Holmes	34	33,696	22.5	19927
FL	Charlotte	185	41,991	13.9	159978
FL	Madison	0	31,942	23.4	19224
FL	Palm Beach	2370	49,891	14.3	1320134
FL	Dixie	1	30,967	26.6	16422
FL	Washington	6	35,378	21.1	24896
FL	Gilchrist	1	38,517	21	16939
FL	Leon	619	42,393	26.3	275487
FL	Jefferson	1	39,113	18.5	14761
FL	Citrus	51	36,174	17.2	141236
FL	Brevard	921	46,331	13.5	543376
FL	Marion	516	37,162	19.6	331298
FL	Wakulla	11	47,566	14.1	30776
FL	Escambia	833	41,428	19.1	297619
FL	Lafayette	0	36,001	26	8870
FL	Polk	560	41,184	17.5	602095
FL	Clay	23	57,913	11.3	190865
FL	Collier	904	53,341	15.7	321520
WY	Sublette	2	73,855	6	10247
WY	Albany	109	40,430	20.7	36299
WY	Natrona	107	52,101	10.3	75450
WY	Fremont	10	45,998	13.8	40123
WY	Wyoming	0	53,757	11.4	563626
WY	Sheridan	10	51,926	10.2	29116
WY	Laramie	171	50,278	12	91738
WY	Teton	1	68,358	9	21294
WY	Washakie	3	47,831	12.1	8533
WY	Converse	6	58,599	10.4	13833
WY	Park	19	50,058	12	28205
WY	Hot Springs	1	40,126	11.7	4812
WY	Carbon	9	52,935	12.4	15885
WY	Platte	1	44,288	12	8667
WY	Lincoln	4	58,175	9.4	18106
WY	Johnson	1	56,475	9.8	8569
WY	Big Horn	0	44,137	13	11668
WY	Goshen	2	41,226	17	13249
WY	Sweetwater	69	67,508	9.1	43806
WY	Weston	0	48,653	9.9	7208
WY	Crook	1	53,961	8.2	7083
WY	Uinta	12	60,532	11.2	21118
WY	Campbell	36	76,441	6.8	46133
WY	Niobrara	0	40,683	14.8	2484
NH	Coos	41	37,708	14.3	33055
NH	Belknap	131	53,851	9.5	60088
NH	Strafford	100	52,527	11.1	123143
NH	Sullivan	9	50,549	11.2	43742
NH	Grafton	67	50,834	11.6	89118
NH	Carroll	32	48,236	10.3	47818
NH	Merrimack	87	60,932	9.5	146445
NH	Hillsborough	246	67,650	7.6	400721
NH	Rockingham	281	73,402	5.7	295223
NH	New Hampshire	0	60,917	8.6	1316470
NH	Cheshire	36	49,126	11.3	77117
NJ	Middlesex	350	75,890	7.7	809858
NJ	Cumberland	59	49,964	17	156898
NJ	Union	159	65,937	10.9	536499
NJ	Hudson	358	53,547	16.5	634266
NJ	Burlington	98	73,788	5.7	448734
NJ	Somerset	134	93,777	5.2	323444
NJ	Monmouth	217	80,462	6.8	630380
NJ	Sussex	111	81,330	5.7	149265
NJ	Atlantic	172	51,457	13.6	274549
NJ	Hunterdon	111	97,532	4	128349
NJ	Ocean	206	56,924	11	576567
NJ	Morris	138	91,403	5.7	492276
NJ	Cape May	129	51,585	11.4	97265
NJ	Gloucester	65	70,012	6.8	288288
NJ	New Jersey	0	67,719	10.2	8791894
NJ	Passaic	140	53,363	15.6	501226
NJ	Essex	194	52,288	16.4	783969
NJ	Salem	15	55,274	11.2	66083
NJ	Camden	253	56,939	12.3	513657
NJ	Mercer	66	70,228	11.7	366513
NJ	Bergen	172	77,059	6.9	905116
NJ	Warren	24	69,658	7.4	108692
NM	San Juan	82	44,155	23.9	130044
NM	San Miguel	21	31,762	25.7	29393
NM	Otero	23	36,628	21.8	63797
NM	Bernalillo	9598	47,405	16.4	662564
NM	Grant	127	36,756	18.9	29514
NM	Union	0	33,195	18.9	4549
NM	Rio Arriba	21	36,570	21	40246
NM	DeBaca	0	31,442	18.6	2022
NM	Guadalupe	4	28,402	23.7	4687
NM	Eddy	55	43,240	16.6	53829
NM	New Mexico	0	42,186	19.8	2059179
NM	Sierra	28	26,240	21.2	11988
NM	Valencia	16	40,552	22.5	76569
NM	Mora	0	29,321	21.8	4881
NM	Torrance	5	36,588	23.8	16383
NM	Taos	86	32,940	18.6	32937
NM	Lea	13	43,171	18	64727
NM	Cibola	9	33,782	27.6	27213
NM	Quay	3	27,856	24.6	9041
NM	Harding	0	30,941	13.5	695
NM	Chaves	232	34,681	22.8	65645
NM	Catron	11	28,427	23.1	3725
NM	Sandoval	119	52,778	13.8	131561
NM	Socorro	19	31,254	27.4	17866
NM	Dona Ana	0	35,584	25.4	209233
NM	Lincoln	8	38,623	18.3	20497
NM	Colfax	7	36,468	17.9	13750
NM	Roosevelt	2	33,068	24.5	19846
NM	Los Alamos	3	105,987	3.2	17950
NM	Curry	25	36,085	19.8	48376
NM	Santa Fe	1006	48,507	16.5	144170
NM	Luna	66	27,257	30.7	25095
NM	McKinley	39	29,473	32.6	71492
NM	Hidalgo	0	30,280	25.2	4894
TX	Wilson	2	55,992	12.1	42918
TX	DeWitt	3	36,611	21.3	20097
TX	Zapata	1	29,915	32.3	14018
TX	Bowie	164	42,272	18.7	92565
TX	Brewster	19	37,200	14.7	9232
TX	Gonzales	16	34,166	20.8	19807
TX	Burnet	48	49,195	14.6	42750
TX	Duval	9	30,365	26.9	11782
TX	Smith	68	44,249	15	209714
TX	Chambers	10	69,491	10.6	35096
TX	Montgomery	101	65,483	11.5	455746
TX	Tyler	3	37,914	19.9	21766
TX	Hill	6	38,583	17.1	35089
TX	Schleicher	3	32,831	17.5	3461
TX	Bailey	0	35,476	18.8	7165
TX	Robertson	3	36,935	21.6	16622
TX	Texas	0	48,622	17.9	25145561
TX	Hudspeth	1	26,993	29.5	3476
TX	La Salle	24	28,834	34.4	6886
TX	Trinity	6	34,045	18.2	14585
TX	Henderson	35	37,137	19.3	78532
TX	Irion	0	52,857	9.6	1599
TX	Brown	32	37,512	18.8	38106
TX	Sabine	4	34,034	18.5	10834
TX	Angelina	15	38,954	19	86771
TX	Goliad	3	42,646	15.5	7210
