Name,Postal,Median Household Income,Poverty Percent All Ages,State FIPS,County FIPS,90% CI Lower Bound,90% CI Upper Bound,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,90% CI Lower Bound,90% CI Upper Bound
Clark County,KS,"41,715",11.2,20,025,181,297,8.5,13.9,78,58,98,14.3,10.7,17.9,51,38,64,13.0,9.6,16.4,"37,736","45,694"
Clay County,KS,"46,421",11.6,20,027,756,"1,184",9.0,14.2,344,263,425,17.3,13.2,21.4,227,171,283,16.1,12.1,20.1,"42,166","50,676"
Cloud County,KS,"37,539",16.0,20,029,"1,189","1,713",13.1,18.9,398,308,488,19.1,14.8,23.4,253,195,311,17.4,13.4,21.4,"34,855","40,223"
Coffey County,KS,"49,727",9.7,20,031,627,"1,019",7.4,12.0,260,196,324,12.7,9.6,15.8,170,126,214,11.1,8.3,13.9,"44,983","54,471"
Comanche County,KS,"38,207",10.4,20,033,144,234,7.9,12.9,58,44,72,13.8,10.4,17.2,35,26,44,11.1,8.2,14.0,"34,513","41,901"
Cowley County,KS,"39,155",17.3,20,035,"4,855","6,953",14.2,20.4,"1,887","1,463","2,311",21.9,17.0,26.8,"1,211",925,"1,497",19.6,15.0,24.2,"36,368","41,942"
Crawford County,KS,"35,407",19.2,20,037,"5,857","8,475",15.7,22.7,"2,262","1,776","2,748",26.8,21.0,32.6,"1,391","1,043","1,739",23.3,17.5,29.1,"32,934","37,880"
Decatur County,KS,"37,081",13.1,20,039,288,462,10.0,16.2,108,81,135,20.3,15.3,25.3,74,55,93,18.9,14.0,23.8,"33,521","40,641"
Dickinson County,KS,"45,037",11.6,20,041,"1,834","2,666",9.5,13.7,790,634,946,16.6,13.3,19.9,491,380,602,14.1,10.9,17.3,"40,967","49,107"
Doniphan County,KS,"45,202",13.0,20,043,770,"1,176",10.3,15.7,300,225,375,17.4,13.1,21.7,192,142,242,15.2,11.2,19.2,"41,413","48,991"
Douglas County,KS,"47,335",15.6,20,045,"13,746","18,266",13.4,17.8,"2,879","2,200","3,558",13.8,10.5,17.1,"1,814","1,359","2,269",12.4,9.3,15.5,"44,301","50,369"
Edwards County,KS,"41,800",12.1,20,047,280,446,9.4,14.8,139,105,173,19.2,14.5,23.9,92,69,115,17.0,12.7,21.3,"37,854","45,746"
Elk County,KS,"32,619",18.3,20,049,403,633,14.2,22.4,177,135,219,29.2,22.3,36.1,124,94,154,28.6,21.6,35.6,"29,489","35,749"
Ellis County,KS,"42,409",13.6,20,051,"3,089","4,367",11.3,15.9,790,590,990,13.4,10.0,16.8,536,399,673,13.2,9.8,16.6,"39,201","45,617"
Ellsworth County,KS,"41,622",10.8,20,053,451,741,8.2,13.4,177,133,221,15.2,11.4,19.0,117,87,147,14.1,10.5,17.7,"37,707","45,537"
Finney County,KS,"46,697",15.2,20,055,"4,339","6,679",12.0,18.4,"2,492","1,933","3,051",21.3,16.5,26.1,"1,615","1,247","1,983",19.8,15.3,24.3,"43,174","50,220"
Ford County,KS,"43,876",14.1,20,057,"3,795","5,573",11.4,16.8,"2,121","1,692","2,550",20.6,16.4,24.8,"1,262",961,"1,563",17.9,13.6,22.2,"40,080","47,672"
Franklin County,KS,"46,965",11.6,20,059,"2,320","3,582",9.1,14.1,"1,089",807,"1,371",16.6,12.3,20.9,711,525,897,15.0,11.1,18.9,"43,461","50,469"
Geary County,KS,"43,691",12.1,20,061,"3,341","4,939",9.8,14.4,"1,673","1,299","2,047",15.7,12.2,19.2,"1,041",788,"1,294",15.4,11.7,19.1,"40,713","46,669"
Gove County,KS,"41,263",11.6,20,063,232,380,8.8,14.4,111,83,139,18.8,14.1,23.5,75,56,94,18.2,13.5,22.9,"37,641","44,885"
Graham County,KS,"40,049",12.5,20,065,248,394,9.7,15.3,87,67,107,17.8,13.6,22.0,55,41,69,15.6,11.7,19.5,"36,370","43,728"
Grant County,KS,"51,460",11.2,20,067,675,"1,063",8.7,13.7,407,311,503,16.7,12.8,20.6,274,208,340,15.7,11.9,19.5,"46,497","56,423"
Gray County,KS,"51,828",8.1,20,069,362,596,6.1,10.1,229,171,287,12.7,9.5,15.9,148,110,186,11.4,8.5,14.3,"47,085","56,571"
Greeley County,KS,"47,625",10.5,20,071,100,160,8.1,12.9,46,34,58,17.0,12.7,21.3,31,23,39,16.8,12.3,21.3,"42,975","52,275"
Greenwood County,KS,"35,146",17.4,20,073,900,"1,386",13.7,21.1,367,278,456,25.6,19.4,31.8,226,168,284,21.7,16.2,27.2,"31,776","38,516"
Hamilton County,KS,"42,586",12.8,20,075,265,423,9.9,15.7,150,113,187,20.0,15.0,25.0,101,75,127,20.1,14.9,25.3,"38,496","46,676"
Harper County,KS,"37,468",14.4,20,077,656,"1,036",11.2,17.6,312,235,389,22.4,16.9,27.9,201,148,254,20.6,15.2,26.0,"34,048","40,888"
Harvey County,KS,"46,941",10.1,20,079,"2,642","4,068",8.0,12.2,"1,124",834,"1,414",13.1,9.7,16.5,755,559,951,12.1,9.0,15.2,"42,954","50,928"
Haskell County,KS,"51,257",11.0,20,081,354,572,8.4,13.6,231,174,288,17.7,13.3,22.1,154,115,193,16.0,11.9,20.1,"46,305","56,209"
Hodgeman County,KS,"43,338",10.6,20,083,154,248,8.1,13.1,65,49,81,14.9,11.2,18.6,43,32,54,13.6,10.1,17.1,"39,392","47,284"
Jackson County,KS,"50,709",11.3,20,085,"1,199","1,799",9.0,13.6,560,430,690,16.0,12.3,19.7,367,278,456,14.2,10.7,17.7,"47,112","54,306"
Jefferson County,KS,"52,592",9.0,20,087,"1,314","2,064",7.0,11.0,575,434,716,12.5,9.4,15.6,370,277,463,10.6,7.9,13.3,"48,340","56,844"
Jewell County,KS,"37,640",13.6,20,089,315,509,10.4,16.8,104,78,130,18.6,13.9,23.3,70,52,88,16.8,12.4,21.2,"34,241","41,039"
Johnson County,KS,"71,389",6.6,20,091,"31,171","39,541",5.8,7.4,"10,994","9,138","12,850",7.7,6.4,9.0,"6,705","5,411","7,999",6.5,5.2,7.8,"69,383","73,395"
Kearny County,KS,"49,426",11.4,20,093,339,551,8.7,14.1,213,160,266,18.2,13.7,22.7,141,105,177,16.3,12.1,20.5,"45,062","53,790"
Kingman County,KS,"46,574",12.4,20,095,752,"1,142",9.8,15.0,317,246,388,17.5,13.6,21.4,212,163,261,15.6,12.0,19.2,"42,530","50,618"
Kiowa County,KS,"41,166",13.2,20,097,242,394,10.0,16.4,109,82,136,20.0,15.1,24.9,72,54,90,17.5,13.0,22.0,"37,520","44,812"
Labette County,KS,"39,683",17.1,20,099,"2,807","4,409",13.3,20.9,"1,277",979,"1,575",25.1,19.2,31.0,806,599,"1,013",22.5,16.7,28.3,"37,697","41,669"
Lane County,KS,"44,288",9.7,20,101,130,206,7.5,11.9,56,42,70,15.2,11.5,18.9,37,28,46,13.1,9.8,16.4,"40,353","48,223"
Leavenworth County,KS,"60,848",9.4,20,103,"5,235","7,917",7.5,11.3,"2,411","1,839","2,983",12.7,9.7,15.7,"1,568","1,182","1,954",11.4,8.6,14.2,"57,960","63,736"
Lincoln County,KS,"39,442",12.9,20,105,316,498,10.0,15.8,139,105,173,18.4,13.9,22.9,90,67,113,16.2,12.1,20.3,"35,726","43,158"
Linn County,KS,"43,509",14.3,20,107,"1,070","1,662",11.2,17.4,482,368,596,21.9,16.7,27.1,323,245,401,19.5,14.8,24.2,"40,204","46,814"
Logan County,KS,"42,297",10.4,20,109,218,346,8.0,12.8,94,71,117,15.3,11.5,19.1,61,45,77,13.0,9.7,16.3,"38,274","46,320"
Lyon County,KS,"39,258",19.6,20,111,"5,331","7,243",16.6,22.6,"1,742","1,388","2,096",22.4,17.9,26.9,"1,101",864,"1,338",20.2,15.8,24.6,"36,262","42,254"
McPherson County,KS,"54,881",9.3,20,113,"2,055","3,185",7.3,11.3,798,619,977,11.9,9.2,14.6,506,392,620,10.3,8.0,12.6,"50,872","58,890"
Marion County,KS,"45,899",10.9,20,115,"1,004","1,596",8.4,13.4,390,294,486,14.0,10.6,17.4,258,193,323,12.3,9.2,15.4,"43,045","48,753"
Marshall County,KS,"43,584",11.8,20,117,913,"1,423",9.2,14.4,385,300,470,16.9,13.2,20.6,256,197,315,15.7,12.1,19.3,"39,896","47,272"
Meade County,KS,"48,634",10.2,20,119,348,564,7.8,12.6,194,145,243,14.6,10.9,18.3,127,95,159,12.9,9.6,16.2,"44,588","52,680"
Miami County,KS,"58,445",8.8,20,121,"2,206","3,464",6.8,10.8,"1,022",787,"1,257",11.9,9.2,14.6,676,520,832,10.4,8.0,12.8,"53,891","62,999"
Mitchell County,KS,"42,946",10.3,20,123,476,770,7.9,12.7,200,151,249,15.2,11.5,18.9,136,101,171,14.4,10.7,18.1,"38,797","47,095"
Montgomery County,KS,"37,495",18.6,20,125,"5,294","7,412",15.5,21.7,"2,129","1,676","2,582",26.2,20.6,31.8,"1,374","1,065","1,683",23.9,18.5,29.3,"34,431","40,559"
Morris County,KS,"44,417",11.0,20,127,497,789,8.5,13.5,208,157,259,16.8,12.7,20.9,141,106,176,15.1,11.3,18.9,"40,452","48,382"
Morton County,KS,"49,526",11.2,20,129,266,436,8.5,13.9,162,122,202,18.9,14.2,23.6,104,77,131,16.3,12.1,20.5,"44,743","54,309"
Nemaha County,KS,"44,056",10.0,20,131,769,"1,203",7.8,12.2,328,250,406,12.6,9.6,15.6,219,164,274,11.2,8.4,14.0,"40,407","47,705"
Neosho County,KS,"38,363",16.4,20,133,"2,056","3,156",12.9,19.9,938,716,"1,160",23.7,18.1,29.3,590,437,743,21.1,15.6,26.6,"34,828","41,898"
Ness County,KS,"51,717",10.3,20,135,235,385,7.8,12.8,104,78,130,15.4,11.6,19.2,69,51,87,13.4,10.0,16.8,"48,298","55,136"
Norton County,KS,"40,386",13.9,20,137,516,832,10.6,17.2,200,152,248,18.0,13.6,22.4,133,100,166,16.2,12.1,20.3,"36,696","44,076"
Osage County,KS,"45,221",12.1,20,139,"1,531","2,359",9.5,14.7,686,531,841,17.3,13.4,21.2,425,320,530,14.5,10.9,18.1,"41,846","48,596"
Osborne County,KS,"36,519",14.4,20,141,420,650,11.3,17.5,174,134,214,22.0,17.0,27.0,111,84,138,19.3,14.5,24.1,"33,189","39,849"
Ottawa County,KS,"53,086",9.9,20,143,457,723,7.7,12.1,196,149,243,13.1,10.0,16.2,129,97,161,11.2,8.5,13.9,"49,885","56,287"
Pawnee County,KS,"42,658",14.1,20,145,632,"1,036",10.7,17.5,245,184,306,17.8,13.3,22.3,149,111,187,15.2,11.3,19.1,"38,671","46,645"
Phillips County,KS,"42,071",11.4,20,147,481,785,8.6,14.2,217,163,271,16.3,12.2,20.4,149,111,187,15.2,11.3,19.1,"38,241","45,901"
Pottawatomie County,KS,"52,861",9.0,20,149,"1,507","2,345",7.0,11.0,735,557,913,11.6,8.8,14.4,502,382,622,11.2,8.5,13.9,"49,044","56,678"
Pratt County,KS,"43,987",11.3,20,151,782,"1,308",8.5,14.1,370,277,463,17.0,12.7,21.3,241,179,303,15.7,11.7,19.7,"40,002","47,972"
Rawlins County,KS,"40,211",13.0,20,153,245,393,10.0,16.0,88,66,110,18.9,14.3,23.5,60,45,75,17.8,13.3,22.3,"36,541","43,881"
Reno County,KS,"41,717",14.6,20,155,"7,210","10,652",11.8,17.4,"3,104","2,454","3,754",20.8,16.4,25.2,"2,000","1,561","2,439",18.8,14.7,22.9,"38,594","44,840"
Republic County,KS,"38,331",12.3,20,157,461,733,9.5,15.1,156,118,194,16.5,12.4,20.6,106,79,133,15.1,11.2,19.0,"35,039","41,623"
Rice County,KS,"41,687",13.8,20,159,"1,017","1,569",10.9,16.7,425,325,525,18.0,13.8,22.2,266,200,332,15.4,11.6,19.2,"37,834","45,540"
Riley County,KS,"45,523",21.2,20,161,"11,725","14,769",18.8,23.6,"2,314","1,838","2,790",17.7,14.0,21.4,"1,439","1,115","1,763",17.6,13.6,21.6,"41,973","49,073"
Rooks County,KS,"38,487",14.4,20,163,590,872,11.6,17.2,232,178,286,19.2,14.7,23.7,155,116,194,17.5,13.1,21.9,"34,969","42,005"
Rush County,KS,"38,595",13.4,20,165,336,536,10.3,16.5,143,108,178,22.2,16.8,27.6,95,71,119,20.0,14.9,25.1,"35,575","41,615"
Russell County,KS,"36,575",15.4,20,167,847,"1,281",12.3,18.5,317,244,390,21.4,16.5,26.3,197,148,246,18.5,13.9,23.1,"33,329","39,821"
Saline County,KS,"43,927",17.2,20,169,"8,264","10,448",15.2,19.2,"3,847","3,381","4,313",28.3,24.9,31.7,"2,255","1,915","2,595",23.8,20.2,27.4,"40,744","47,110"
Scott County,KS,"46,925",9.2,20,171,350,542,7.2,11.2,173,132,214,14.0,10.7,17.3,114,85,143,13.2,9.9,16.5,"42,354","51,496"
Sedgwick County,KS,"45,996",15.3,20,173,"69,349","81,183",14.1,16.5,"27,167","23,951","30,383",20.4,18.0,22.8,"16,490","13,996","18,984",17.5,14.8,20.2,"44,818","47,174"
Seward County,KS,"43,449",15.6,20,175,"2,747","4,289",12.2,19.0,"1,638","1,238","2,038",22.4,16.9,27.9,"1,061",796,"1,326",21.2,15.9,26.5,"39,734","47,164"
Shawnee County,KS,"45,359",17.5,20,177,"27,474","33,252",15.8,19.2,"11,207","9,866","12,548",26.0,22.9,29.1,"6,549","5,546","7,552",21.3,18.0,24.6,"42,977","47,741"
Sheridan County,KS,"46,699",13.1,20,179,248,408,9.9,16.3,118,88,148,19.8,14.8,24.8,79,59,99,18.2,13.6,22.8,"42,261","51,137"
Sherman County,KS,"37,927",16.9,20,181,780,"1,212",13.2,20.6,342,262,422,25.6,19.6,31.6,220,165,275,23.4,17.6,29.2,"34,296","41,558"
Smith County,KS,"38,120",13.9,20,183,406,642,10.8,17.0,145,111,179,19.2,14.7,23.7,96,72,120,16.9,12.7,21.1,"34,858","41,382"
Stafford County,KS,"39,980",13.8,20,185,476,724,10.9,16.7,219,170,268,21.4,16.6,26.2,140,107,173,18.0,13.7,22.3,"36,695","43,265"
Stanton County,KS,"49,580",12.3,20,187,207,335,9.4,15.2,119,89,149,18.2,13.7,22.7,78,58,98,16.8,12.5,21.1,"44,932","54,228"
Stevens County,KS,"50,070",11.5,20,189,503,807,8.8,14.2,329,250,408,18.7,14.2,23.2,221,167,275,17.4,13.1,21.7,"45,542","54,598"
Sumner County,KS,"47,113",12.1,20,191,"2,262","3,460",9.6,14.6,"1,019",770,"1,268",16.4,12.4,20.4,662,495,829,14.4,10.8,18.0,"43,901","50,325"
Thomas County,KS,"45,797",10.5,20,193,600,980,8.0,13.0,225,169,281,12.3,9.2,15.4,143,107,179,10.9,8.1,13.7,"41,827","49,767"
Trego County,KS,"40,178",11.6,20,195,262,416,9.0,14.2,91,68,114,15.7,11.8,19.6,62,46,78,14.1,10.4,17.8,"36,849","43,507"
Wabaunsee County,KS,"50,740",9.3,20,197,500,782,7.3,11.3,235,179,291,13.4,10.2,16.6,153,114,192,11.8,8.8,14.8,"46,089","55,391"
Wallace County,KS,"43,553",12.6,20,199,142,228,9.7,15.5,60,45,75,15.8,11.9,19.7,41,31,51,13.9,10.4,17.4,"39,406","47,700"
Washington County,KS,"40,956",9.9,20,201,437,689,7.7,12.1,207,155,259,15.8,11.8,19.8,138,102,174,14.2,10.5,17.9,"37,311","44,601"
Wichita County,KS,"45,918",12.8,20,203,217,349,9.8,15.8,133,100,166,21.6,16.3,26.9,89,67,111,20.0,15.0,25.0,"41,668","50,168"
Wilson County,KS,"37,078",16.0,20,205,"1,163","1,785",12.6,19.4,548,415,681,24.5,18.6,30.4,371,280,462,22.8,17.2,28.4,"33,747","40,409"
Woodson County,KS,"33,134",17.2,20,207,434,680,13.4,21.0,181,137,225,28.1,21.2,35.0,119,89,149,25.6,19.1,32.1,"30,002","36,266"
Wyandotte County,KS,"37,805",23.9,20,209,"33,598","41,132",21.5,26.3,"15,104","13,037","17,171",34.7,30.0,39.4,"9,888","8,355","11,421",33.1,28.0,38.2,"35,494","40,116"
Kentucky,KY,"40,089",18.9,21,000,"781,996","810,420",18.6,19.2,"261,696","253,671","269,721",26.1,25.3,26.9,"171,016","164,346","177,686",23.7,22.8,24.6,"39,605","40,573"
Adair County,KY,"30,177",24.0,21,001,"3,300","5,078",18.9,29.1,"1,417","1,072","1,762",35.4,26.8,44.0,933,697,"1,169",32.7,24.4,41.0,"27,453","32,901"
Allen County,KY,"35,617",22.3,21,003,"3,617","5,187",18.3,26.3,"1,493","1,169","1,817",31.0,24.3,37.7,934,712,"1,156",27.0,20.6,33.4,"32,325","38,909"
Anderson County,KY,"52,660",12.8,21,005,"2,227","3,217",10.5,15.1,984,765,"1,203",18.4,14.3,22.5,620,472,768,15.9,12.1,19.7,"47,795","57,525"
Ballard County,KY,"41,776",14.4,21,007,907,"1,435",11.1,17.7,407,305,509,22.5,16.9,28.1,272,204,340,19.9,14.9,24.9,"37,831","45,721"
Barren County,KY,"38,000",19.4,21,009,"6,505","9,469",15.8,23.0,"2,867","2,243","3,491",28.9,22.6,35.2,"1,913","1,483","2,343",26.8,20.8,32.8,"34,948","41,052"
Bath County,KY,"32,091",27.8,21,011,"2,618","3,764",22.8,32.8,"1,068",832,"1,304",38.1,29.7,46.5,704,541,867,35.4,27.2,43.6,"29,215","34,967"
Bell County,KY,"26,911",30.2,21,013,"6,687","10,059",24.1,36.3,"2,568","1,919","3,217",41.9,31.3,52.5,"1,782","1,335","2,229",39.4,29.5,49.3,"24,483","29,339"
Boone County,KY,"64,005",9.2,21,015,"9,043","12,747",7.6,10.8,"3,812","2,989","4,635",11.5,9.0,14.0,"2,420","1,871","2,969",10.0,7.7,12.3,"60,433","67,577"
Bourbon County,KY,"39,219",17.0,21,017,"2,680","3,996",13.7,20.3,"1,171",890,"1,452",24.7,18.8,30.6,749,561,937,21.6,16.2,27.0,"35,673","42,765"
Boyd County,KY,"38,029",19.1,21,019,"7,418","10,620",15.7,22.5,"2,917","2,306","3,528",28.4,22.5,34.3,"1,928","1,521","2,335",26.2,20.7,31.7,"35,608","40,450"
Boyle County,KY,"39,241",16.6,21,021,"3,518","5,156",13.5,19.7,"1,382","1,067","1,697",23.2,17.9,28.5,953,740,"1,166",21.4,16.6,26.2,"35,976","42,506"
Bracken County,KY,"42,056",16.5,21,023,"1,090","1,688",12.9,20.1,518,394,642,24.7,18.8,30.6,319,235,403,20.7,15.3,26.1,"38,080","46,032"
Breathitt County,KY,"28,045",28.3,21,025,"2,998","4,690",22.1,34.5,"1,193",887,"1,499",38.7,28.8,48.6,840,628,"1,052",38.4,28.7,48.1,"25,410","30,680"
Breckinridge County,KY,"35,428",20.7,21,027,"3,311","4,825",16.9,24.5,"1,401","1,080","1,722",29.6,22.8,36.4,936,714,"1,158",26.6,20.3,32.9,"32,473","38,383"
Bullitt County,KY,"51,409",10.5,21,029,"6,250","9,292",8.4,12.6,"2,810","2,150","3,470",15.3,11.7,18.9,"1,863","1,411","2,315",13.6,10.3,16.9,"47,956","54,862"
Butler County,KY,"35,162",19.5,21,031,"1,919","2,937",15.4,23.6,825,620,"1,030",29.3,22.0,36.6,558,419,697,27.5,20.6,34.4,"31,910","38,414"
Caldwell County,KY,"36,255",18.8,21,033,"1,887","2,917",14.8,22.8,802,608,996,28.7,21.8,35.6,541,408,674,26.8,20.2,33.4,"32,929","39,581"
Calloway County,KY,"39,038",17.2,21,035,"4,680","7,110",13.7,20.7,"1,486","1,108","1,864",22.5,16.8,28.2,992,741,"1,243",21.3,15.9,26.7,"35,883","42,193"
Campbell County,KY,"47,341",13.0,21,037,"9,659","13,189",11.0,15.0,"3,476","2,723","4,229",17.2,13.5,20.9,"2,274","1,764","2,784",15.8,12.3,19.3,"44,094","50,588"
Carlisle County,KY,"38,182",14.4,21,039,552,892,11.0,17.8,278,210,346,24.6,18.5,30.7,182,136,228,22.4,16.7,28.1,"34,544","41,820"
Carroll County,KY,"42,192",22.3,21,041,"1,955","2,723",18.6,26.0,971,808,"1,134",36.8,30.6,43.0,642,529,755,35.3,29.1,41.5,"38,161","46,223"
Carter County,KY,"34,303",23.2,21,043,"5,000","7,480",18.6,27.8,"2,183","1,703","2,663",34.4,26.8,42.0,"1,436","1,116","1,756",31.3,24.3,38.3,"31,321","37,285"
Casey County,KY,"26,612",27.8,21,045,"3,380","5,204",21.9,33.7,"1,498","1,142","1,854",40.8,31.1,50.5,"1,027",784,"1,270",38.4,29.3,47.5,"24,556","28,668"
Christian County,KY,"36,542",19.7,21,047,"10,838","16,292",15.7,23.7,"6,000","4,702","7,298",29.0,22.7,35.3,"3,875","2,960","4,790",28.7,21.9,35.5,"34,729","38,355"
Clark County,KY,"45,016",17.4,21,049,"5,087","7,111",14.5,20.3,"2,145","1,716","2,574",26.2,21.0,31.4,"1,327","1,025","1,629",22.2,17.2,27.2,"41,615","48,417"
Clay County,KY,"24,081",38.0,21,051,"5,900","8,856",30.4,45.6,"2,223","1,682","2,764",48.9,37.0,60.8,"1,420","1,048","1,792",43.6,32.2,55.0,"21,763","26,399"
Clinton County,KY,"27,133",25.4,21,053,"1,965","3,163",19.5,31.3,885,664,"1,106",37.5,28.1,46.9,579,432,726,34.0,25.4,42.6,"24,768","29,498"
Crittenden County,KY,"33,966",20.0,21,055,"1,417","2,217",15.6,24.4,659,496,822,31.9,24.0,39.8,453,341,565,31.2,23.5,38.9,"30,839","37,093"
Cumberland County,KY,"27,382",26.3,21,057,"1,375","2,165",20.4,32.2,589,447,731,39.5,30.0,49.0,401,305,497,38.3,29.1,47.5,"24,889","29,875"
Daviess County,KY,"41,878",16.2,21,059,"13,046","17,384",13.9,18.5,"5,650","4,736","6,564",24.6,20.6,28.6,"3,678","3,033","4,323",22.5,18.6,26.4,"39,848","43,908"
Edmonson County,KY,"34,849",18.8,21,061,"1,753","2,775",14.5,23.1,785,593,977,30.1,22.7,37.5,538,407,669,28.1,21.2,35.0,"31,676","38,022"
Elliott County,KY,"29,335",29.9,21,063,"1,609","2,455",23.7,36.1,569,427,711,36.0,27.0,45.0,382,287,477,33.7,25.3,42.1,"26,508","32,162"
Estill County,KY,"29,486",28.7,21,065,"3,350","4,968",23.1,34.3,"1,377","1,070","1,684",42.2,32.8,51.6,885,677,"1,093",36.9,28.2,45.6,"26,930","32,042"
Fayette County,KY,"45,820",20.0,21,067,"52,861","60,781",18.6,21.4,"14,741","12,875","16,607",23.9,20.9,26.9,"9,359","7,963","10,755",22.0,18.7,25.3,"42,885","48,755"
Fleming County,KY,"33,141",18.9,21,069,"2,057","3,351",14.4,23.4,"1,055",790,"1,320",30.8,23.1,38.5,734,554,914,29.1,21.9,36.3,"30,469","35,813"
Floyd County,KY,"28,589",29.9,21,071,"9,950","13,256",25.6,34.2,"3,801","3,177","4,425",43.5,36.4,50.6,"2,335","1,867","2,803",37.4,29.9,44.9,"26,505","30,673"
Franklin County,KY,"46,323",16.0,21,073,"6,340","8,844",13.4,18.6,"2,403","1,911","2,895",23.0,18.3,27.7,"1,506","1,159","1,853",20.3,15.6,25.0,"42,602","50,044"
Fulton County,KY,"30,662",27.1,21,075,"1,332","2,116",20.9,33.3,558,422,694,41.5,31.4,51.6,385,292,478,40.8,31.0,50.6,"28,217","33,107"
Gallatin County,KY,"42,761",16.7,21,077,"1,103","1,749",12.9,20.5,564,425,703,25.3,19.0,31.6,374,281,467,22.9,17.2,28.6,"39,001","46,521"
Garrard County,KY,"40,834",17.0,21,079,"2,205","3,477",13.2,20.8,990,744,"1,236",25.8,19.4,32.2,671,504,838,24.2,18.2,30.2,"37,043","44,625"
Grant County,KY,"42,690",18.4,21,081,"3,634","5,200",15.1,21.7,"1,745","1,358","2,132",26.1,20.3,31.9,"1,173",912,"1,434",24.4,19.0,29.8,"39,370","46,010"
Graves County,KY,"34,811",19.7,21,083,"6,125","8,255",16.8,22.6,"2,523","2,053","2,993",28.6,23.3,33.9,"1,784","1,472","2,096",28.0,23.1,32.9,"32,319","37,303"
Grayson County,KY,"32,970",20.8,21,085,"4,053","6,297",16.3,25.3,"1,907","1,448","2,366",31.8,24.1,39.5,"1,275",964,"1,586",29.1,22.0,36.2,"30,364","35,576"
Green County,KY,"31,423",21.6,21,087,"1,865","2,929",16.8,26.4,806,613,999,32.4,24.7,40.1,534,404,664,29.5,22.3,36.7,"28,761","34,085"
Greenup County,KY,"40,752",17.3,21,089,"5,183","7,409",14.2,20.4,"1,942","1,502","2,382",23.8,18.4,29.2,"1,311","1,020","1,602",21.7,16.9,26.5,"37,260","44,244"
Hancock County,KY,"46,729",14.2,21,091,942,"1,476",11.1,17.3,437,334,540,20.1,15.4,24.8,288,219,357,17.8,13.6,22.0,"42,304","51,154"
Hardin County,KY,"44,203",14.7,21,093,"12,960","17,444",12.5,16.9,"6,120","5,059","7,181",22.6,18.7,26.5,"3,940","3,195","4,685",20.7,16.8,24.6,"41,689","46,717"
Harlan County,KY,"28,503",33.7,21,095,"8,397","10,961",29.2,38.2,"2,581","2,087","3,075",39.2,31.7,46.7,"1,739","1,390","2,088",37.0,29.6,44.4,"25,914","31,092"
Harrison County,KY,"42,124",16.6,21,097,"2,428","3,726",13.1,20.1,"1,096",830,"1,362",24.4,18.5,30.3,743,564,922,22.3,16.9,27.7,"38,277","45,971"
Hart County,KY,"31,733",25.3,21,099,"3,676","5,378",20.5,30.1,"1,658","1,288","2,028",37.0,28.7,45.3,"1,108",847,"1,369",33.8,25.9,41.7,"29,028","34,438"
Henderson County,KY,"41,309",16.5,21,101,"6,220","8,740",13.7,19.3,"2,372","1,816","2,928",22.4,17.2,27.6,"1,560","1,171","1,949",20.7,15.5,25.9,"37,817","44,801"
Henry County,KY,"40,806",17.1,21,103,"2,121","3,089",13.9,20.3,939,740,"1,138",25.3,19.9,30.7,616,485,747,22.2,17.5,26.9,"37,151","44,461"
Hickman County,KY,"39,087",18.7,21,105,680,"1,060",14.6,22.8,310,239,381,30.7,23.7,37.7,200,153,247,27.3,20.9,33.7,"35,338","42,836"
Hopkins County,KY,"39,738",19.3,21,107,"7,387","10,255",16.2,22.4,"3,121","2,538","3,704",29.5,24.0,35.0,"1,949","1,522","2,376",25.7,20.1,31.3,"37,328","42,148"
Jackson County,KY,"26,462",30.2,21,109,"3,243","4,809",24.3,36.1,"1,237",933,"1,541",40.1,30.3,49.9,836,630,"1,042",36.7,27.6,45.8,"24,013","28,911"
Jefferson County,KY,"42,535",17.3,21,111,"118,717","133,005",16.3,18.3,"41,016","37,344","44,688",24.4,22.2,26.6,"26,437","23,580","29,294",22.1,19.7,24.5,"41,428","43,642"
Jessamine County,KY,"43,503",16.1,21,113,"6,242","8,856",13.3,18.9,"2,905","2,326","3,484",23.6,18.9,28.3,"1,871","1,485","2,257",21.3,16.9,25.7,"40,549","46,457"
Johnson County,KY,"34,260",23.4,21,115,"4,251","6,451",18.6,28.2,"1,695","1,313","2,077",32.8,25.4,40.2,"1,132",878,"1,386",29.7,23.0,36.4,"31,027","37,493"
Kenton County,KY,"51,049",13.3,21,117,"17,819","23,993",11.3,15.3,"7,118","5,668","8,568",18.3,14.6,22.0,"4,504","3,530","5,478",16.3,12.8,19.8,"48,820","53,278"
Knott County,KY,"30,693",26.4,21,119,"3,177","5,115",20.2,32.6,"1,187",891,"1,483",34.3,25.7,42.9,791,592,990,31.4,23.5,39.3,"28,478","32,908"
Knox County,KY,"25,965",33.9,21,121,"8,765","12,363",28.1,39.7,"3,480","2,683","4,277",45.3,34.9,55.7,"2,348","1,795","2,901",42.3,32.3,52.3,"23,552","28,378"
