Name,Postal,Median Household Income,Poverty Percent All Ages,State FIPS,County FIPS,90% CI Lower Bound,90% CI Upper Bound,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,90% CI Lower Bound,90% CI Upper Bound
Montgomery County,AL,"41,556",21.3,01,101,"41,853","52,091",19.0,23.6,"17,798","15,529","20,067",32.3,28.2,36.4,"11,523","9,657","13,389",29.3,24.6,34.0,"39,887","43,225"
Morgan County,AL,"44,859",14.1,01,103,"13,629","19,495",11.6,16.6,"6,037","4,790","7,284",21.4,17.0,25.8,"4,151","3,280","5,022",20.0,15.8,24.2,"42,019","47,699"
Perry County,AL,"24,742",39.5,01,105,"3,156","4,592",32.2,46.8,"1,364","1,066","1,662",54.3,42.4,66.2,970,768,"1,172",52.5,41.6,63.4,"22,334","27,150"
Pickens County,AL,"31,032",24.4,01,107,"3,783","5,663",19.5,29.3,"1,615","1,261","1,969",35.5,27.7,43.3,"1,113",870,"1,356",33.0,25.8,40.2,"28,308","33,756"
Pike County,AL,"32,771",30.0,01,109,"8,258","10,350",26.6,33.4,"2,488","2,082","2,894",37.7,31.5,43.9,"1,663","1,363","1,963",35.1,28.8,41.4,"29,860","35,682"
Randolph County,AL,"32,584",24.8,01,111,"4,567","6,551",20.4,29.2,"1,971","1,580","2,362",36.5,29.3,43.7,"1,331","1,056","1,606",33.1,26.3,39.9,"30,291","34,877"
Russell County,AL,"32,733",24.1,01,113,"10,692","14,616",20.4,27.8,"4,783","3,882","5,684",35.8,29.0,42.6,"3,172","2,539","3,805",34.1,27.3,40.9,"30,350","35,116"
St. Clair County,AL,"48,296",13.0,01,115,"8,491","12,665",10.4,15.6,"3,874","2,974","4,774",19.8,15.2,24.4,"2,742","2,119","3,365",19.5,15.1,23.9,"44,810","51,782"
Shelby County,AL,"67,135",9.8,01,117,"16,705","21,191",8.6,11.0,"6,538","5,514","7,562",13.2,11.1,15.3,"4,264","3,513","5,015",11.7,9.6,13.8,"63,299","70,971"
Sumter County,AL,"25,586",31.3,01,119,"3,131","5,029",24.0,38.6,"1,295",984,"1,606",42.8,32.5,53.1,878,665,"1,091",38.6,29.2,48.0,"23,148","28,024"
Talladega County,AL,"35,646",22.7,01,121,"15,579","20,245",19.7,25.7,"6,290","5,358","7,222",33.6,28.6,38.6,"4,235","3,508","4,962",30.7,25.4,36.0,"33,447","37,845"
Tallapoosa County,AL,"34,440",18.3,01,123,"6,057","8,947",14.8,21.8,"2,679","2,079","3,279",29.5,22.9,36.1,"1,838","1,424","2,252",27.6,21.4,33.8,"32,012","36,868"
Tuscaloosa County,AL,"43,098",18.0,01,125,"29,183","37,333",15.8,20.2,"9,650","8,110","11,190",23.4,19.7,27.1,"6,432","5,254","7,610",21.7,17.7,25.7,"40,661","45,535"
Walker County,AL,"36,044",23.2,01,127,"13,406","17,170",20.3,26.1,"5,116","4,385","5,847",34.6,29.7,39.5,"3,740","3,229","4,251",34.2,29.5,38.9,"33,629","38,459"
Washington County,AL,"37,639",19.6,01,129,"2,643","4,169",15.2,24.0,"1,264",972,"1,556",28.5,21.9,35.1,875,678,"1,072",26.0,20.2,31.8,"34,174","41,104"
Wilcox County,AL,"21,611",39.6,01,131,"3,707","5,387",32.3,46.9,"1,630","1,282","1,978",52.5,41.3,63.7,"1,141",902,"1,380",47.5,37.5,57.5,"19,750","23,472"
Winston County,AL,"32,574",20.3,01,133,"3,815","5,973",15.8,24.8,"1,659","1,267","2,051",31.9,24.3,39.5,"1,155",879,"1,431",29.8,22.7,36.9,"29,693","35,455"
Alaska,AK,"63,456",11.0,02,000,"72,916","80,784",10.4,11.6,"27,209","25,096","29,322",14.8,13.6,16.0,"15,714","13,861","17,567",12.1,10.7,13.5,"62,061","64,851"
Aleutians East Borough,AK,"47,077",16.8,02,013,419,635,13.4,20.2,61,44,78,16.4,11.8,21.0,36,25,47,14.1,9.6,18.6,"42,458","51,696"
Aleutians West Census Area,AK,"58,517",9.0,02,016,362,602,6.8,11.2,86,62,110,11.0,8.0,14.0,50,34,66,8.6,5.9,11.3,"53,140","63,894"
Anchorage Borough,AK,"70,524",9.6,02,020,"24,059","30,643",8.4,10.8,"9,009","7,509","10,509",12.2,10.2,14.2,"4,944","3,786","6,102",9.5,7.3,11.7,"67,446","73,602"
Bethel Census Area,AK,"45,481",22.6,02,050,"2,876","4,712",17.1,28.1,"1,842","1,327","2,357",30.2,21.8,38.6,"1,117",750,"1,484",25.9,17.4,34.4,"42,233","48,729"
Bristol Bay Borough,AK,"62,912",8.8,02,060,66,106,6.8,10.8,21,15,27,9.1,6.6,11.6,13,9,17,7.6,5.2,10.0,"56,830","68,994"
